block_number,block_timestamp,transaction_hash,from_address,to_address,amount,event_type
19364281,2024-03-04 20:46:35 UTC,0xda520d75238e8c2cf21c82689671978fc335cbd6e4b77a642793dabee8cf6f75,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,100,MINT
19371256,2024-03-05 20:08:35 UTC,0x1aafa1261516a2ecb6ddd00573557a9937e7cd8330915723ebc05e0b6eca9f4b,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BURN
19378321,2024-03-06 19:48:11 UTC,0x8c7af81335e9b412c4bdcbe9d03845e5321b275989bf4ced35bac99aa579151c,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,50,MINT
19378395,2024-03-06 20:03:11 UTC,0xf84f9ac9467d36e4a9e82f6810b72afdc573ef8d20606d6d52ad54bd49d525e8,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BURN
19385483,2024-03-07 19:48:35 UTC,0x7c293b1d8936ede94198639a15b5bc7cfbc3bb8b0f0d89620bfaf86049c9a7d0,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,50,MINT
19385555,2024-03-07 20:02:59 UTC,0x134eb8bd157f86ea902e4691c14edfa781b6c14b3a57eb5720ce926700b4c54c,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BURN
19392717,2024-03-08 20:04:35 UTC,0x84546e5147bb72c910570239454dc4b745fee2fd2525cb702d752a2e5b934801,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,50,BURN
19435204,2024-03-14 19:06:35 UTC,0xcfc9ffbea179af8ec4705439cfba276965037ae3a3e6331e76eb33804c8feb57,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,50,BURN
19442307,2024-03-15 19:04:11 UTC,0xeb6ab6d56c4a041fbd7278a1fcd9ed62b0ac49cf4ade422e3e13581d3cf86650,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BURN
19477803,2024-03-20 18:50:11 UTC,0x157d269bfe878564318d3a1d046aec700e73ebbb4f0425196a96f5bf722c89fa,0x0000000000000000000000000000000000000000,0xc02ac677e58e40b66f100be3a721ba944807c2d7,5000000,MINT
19477807,2024-03-20 18:50:59 UTC,0xaa254bd58c62569d1d77c31f3024f44eab6007a9708e6da172d9ea46d7389cc6,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,35000000,MINT
19484907,2024-03-21 18:47:11 UTC,0x5a9eed41c90730bd58d2fce1d016631de1d444b6714b22b3ce78266a9f0d803a,0x0000000000000000000000000000000000000000,0x12c0de58d3b720024324d5b216ddfe8b29adb0b4,5000000,MINT
19484910,2024-03-21 18:47:47 UTC,0x20288f4707bd71ffd34016e7c79a755b5fa552885c0e491aa2bed2e2fafc8a8a,0x0000000000000000000000000000000000000000,0x72be8c14b7564f7a61ba2f6b7e50d18dc1d4b63d,5000000,MINT
19492042,2024-03-22 18:46:59 UTC,0x0f8f4b953fceb749c38990dbffedc535f1f782a82b56fe6b58f6f47d7c4eaddf,0x0000000000000000000000000000000000000000,0xed71aa0da4fdba512ffa398fcff9db8c49a5cf72,50000000,MINT
19492045,2024-03-22 18:47:35 UTC,0x0895ab3797010ffab648007a104e7ac09445eb5e945ff406daad5903b1e35168,0x0000000000000000000000000000000000000000,0x72be8c14b7564f7a61ba2f6b7e50d18dc1d4b63d,499706.87,MINT
19513355,2024-03-25 18:47:35 UTC,0xc4d07c9a4bde0994811586781687400adfbe114cf3a91802ab76b6bebc8c676b,0x0000000000000000000000000000000000000000,0x72be8c14b7564f7a61ba2f6b7e50d18dc1d4b63d,10000000,MINT
19520480,2024-03-26 18:48:11 UTC,0x9befc8129d4972d4ff6991b35f494e7390f8eeccd2633ad09361615ad12e9ef6,0x0000000000000000000000000000000000000000,0xdc77c1d2a1dc61a31be81e4840368dffefac3add,50000000,MINT
19527472,2024-03-27 18:49:11 UTC,0x824adff85e3bdfafbb8055db1a26e6832a6a2a63cd5c6a9a76eecac0bc9d007c,0x0000000000000000000000000000000000000000,0xb3c62fbe3e797502a978f418582ee92a5f327c23,5000000,MINT
19527475,2024-03-27 18:49:47 UTC,0x3e3319bb226c31d75b25b53a89e07bec05521d22a90a8b260023710e2f717754,0x0000000000000000000000000000000000000000,0x72be8c14b7564f7a61ba2f6b7e50d18dc1d4b63d,79307546,MINT
19534416,2024-03-28 18:46:35 UTC,0xc4402f88fbe54acfbf88c43b649279c3a7c3c348c607a9346c8414ccba0251ed,0x0000000000000000000000000000000000000000,0xbc2cb4bf5510a1cc06863c96196a2361c8462525,30000000,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0xed71aa0da4fdba512ffa398fcff9db8c49a5cf72,66167.55,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0xdc77c1d2a1dc61a31be81e4840368dffefac3add,39698.8,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0x72be8c14b7564f7a61ba2f6b7e50d18dc1d4b63d,70052.72,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0xb3c62fbe3e797502a978f418582ee92a5f327c23,3332.38,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0xbc2cb4bf5510a1cc06863c96196a2361c8462525,16009.56,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0x12c0de58d3b720024324d5b216ddfe8b29adb0b4,7270.44,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0xc02ac677e58e40b66f100be3a721ba944807c2d7,7858.38,MINT
19561903,2024-04-01 15:34:35 UTC,0xf24ba599488ea4d38cc8f049beaab7c0f136554bdfeaaac7c20fc63489bc7bd8,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,55008.82,MINT
19562854,2024-04-01 18:46:47 UTC,0x84f70038321535495ed91a8802b9d1bdeecfe36cafb7be43783e7b4f4fd44674,0x0000000000000000000000000000000000000000,0x568430c66f9a256f609ac07190d70c2c2573e065,5000000,MINT
19570063,2024-04-02 19:03:59 UTC,0xedd7f0fedacb931c2776221fc26308ebf148035e58d4730e4b7eea80fc09a201,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,250000,BURN
19577127,2024-04-03 18:47:11 UTC,0x6219d1aab85204e0bf026b3ca6b5f9e233b73a3f0b0885b641d16a2bd05d2909,0x0000000000000000000000000000000000000000,0x72be8c14b7564f7a61ba2f6b7e50d18dc1d4b63d,833100,MINT
