day,circulating_supply
2024-03-04,100
2024-03-05,75
2024-03-06,100
2024-03-07,125
2024-03-08,75
2024-03-13,75
2024-03-14,25
2024-03-15,0
2024-03-20,40000000
2024-03-21,50000000
2024-03-22,100499706.87
2024-03-25,110499706.87
2024-03-26,160499706.87
2024-03-27,244807252.87
2024-03-28,274807252.87
2024-04-01,280072651.52
2024-04-02,279822651.52
2024-04-03,280655751.52
2024-04-08,286346989.52
2024-04-09,285964232.52
2024-04-10,288064382.52
2024-04-11,288464382.52
2024-04-12,293464382.52
2024-04-15,293464382.52
2024-04-16,293864382.52
2024-04-18,297364382.52
2024-04-19,298364382.52
2024-04-20,298364382.52
2024-04-21,298364382.52
2024-04-22,304614382.52
2024-04-23,304614382.52
2024-04-24,304614382.52
2024-04-25,349430246.52
2024-04-26,349430246.52
2024-04-29,375057329.74
2024-04-30,375057329.74
2024-05-01,384768811.56
2024-05-02,384768811.56
2024-05-03,381768811.56
2024-05-06,381768811.56
2024-05-07,382766347.21
2024-05-08,382766347.21
2024-05-09,382766347.21
2024-05-10,382766347.21
2024-05-13,381066347.21
2024-05-14,381066347.21
2024-05-15,381066347.21
2024-05-16,427016347.21
2024-05-21,442282474.88
2024-05-22,448504972.88
2024-05-23,451080648.88
2024-05-24,453512032.88
2024-05-28,473090665.25
2024-05-29,473090665.25
2024-05-30,454090665.25
2024-05-31,456255765.25
2024-06-03,462542901.22
2024-06-04,462870228.56
2024-06-07,463270228.56
2024-06-10,462270228.56
2024-06-11,462270228.56
2024-06-12,462270228.56
2024-06-13,467270228.56
2024-06-14,462722165.23
2024-06-17,462722165.23
2024-06-18,462722165.23
2024-06-20,481422165.23
2024-06-22,481422165.23
2024-06-24,481422165.23
2024-06-25,479455787.55
2024-06-26,481811326.32
2024-06-28,483311326.32
2024-07-01,486460738.98
2024-07-03,486460738.98
2024-07-05,491830738.98
2024-07-08,502811704.63
2024-07-09,502811704.63
2024-07-10,503667778.13
2024-07-11,523667778.13
2024-07-12,524867778.13
2024-07-15,528867778.13
2024-07-16,517867778.13
2024-07-17,519309780.49
2024-07-19,526832780.49
2024-07-22,527644665.88
2024-07-23,527644665.88
2024-07-25,527644665.88
2024-07-26,508470519.33
2024-07-29,519026248.12
2024-07-31,521016248.15
