block_number,block_timestamp,transaction_hash,from_address,to_address,amount,symbol
19364281,2024-03-04 20:46:35 UTC,0xda520d75238e8c2cf21c82689671978fc335cbd6e4b77a642793dabee8cf6f75,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,100,BUIDL
19369678,2024-03-05 14:51:35 UTC,0x2d99e5300e07ef66677893f4968e089bb6e103875188aa6e859e463dec57e3a7,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,0x8780dd016171b91e4df47075da0a947959c34200,25,BUIDL
19371256,2024-03-05 20:08:35 UTC,0x1aafa1261516a2ecb6ddd00573557a9937e7cd8330915723ebc05e0b6eca9f4b,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BUIDL
19378056,2024-03-06 18:55:11 UTC,0x78da2a43697c425f8e37b00361a3b65bcc33f4216f45421ab6b9b0253d7e4db5,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,0x9d9affc9b217ef2276d3d1781dbda02fcb1c4582,25,BUIDL
19378233,2024-03-06 19:30:35 UTC,0xad828ae2f5c5f22ad738a0dcc0f5addfb394a4a951f51a141a6800d51173153c,0x9d9affc9b217ef2276d3d1781dbda02fcb1c4582,0x8780dd016171b91e4df47075da0a947959c34200,25,BUIDL
19378321,2024-03-06 19:48:11 UTC,0x8c7af81335e9b412c4bdcbe9d03845e5321b275989bf4ced35bac99aa579151c,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,50,BUIDL
19378395,2024-03-06 20:03:11 UTC,0xf84f9ac9467d36e4a9e82f6810b72afdc573ef8d20606d6d52ad54bd49d525e8,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BUIDL
19385356,2024-03-07 19:23:11 UTC,0xe0987245c482276cccbc49b55c54362e2ae52c071a718837d9ae0b8c736a7072,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,0x8780dd016171b91e4df47075da0a947959c34200,25,BUIDL
19385483,2024-03-07 19:48:35 UTC,0x7c293b1d8936ede94198639a15b5bc7cfbc3bb8b0f0d89620bfaf86049c9a7d0,0x0000000000000000000000000000000000000000,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,50,BUIDL
19385555,2024-03-07 20:02:59 UTC,0x134eb8bd157f86ea902e4691c14edfa781b6c14b3a57eb5720ce926700b4c54c,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BUIDL
19391665,2024-03-08 16:33:35 UTC,0x596e25e644538b850551cf9614619610dc807c1125c77e0ee90bb486688acc07,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,0x8780dd016171b91e4df47075da0a947959c34200,50,BUIDL
19392717,2024-03-08 20:04:35 UTC,0x84546e5147bb72c910570239454dc4b745fee2fd2525cb702d752a2e5b934801,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,50,BUIDL
19428347,2024-03-13 19:54:59 UTC,0xd8501e7fd951cbc71c24674140fa3c620ee2901febc08fcb78b2754dd42188a7,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,0x8780dd016171b91e4df47075da0a947959c34200,25,BUIDL
19428420,2024-03-13 20:09:47 UTC,0x59f136b63c0018f849e8daaf7c50316c7723cb86526a47e97693c8d3ece76e4e,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,0xcf64a444c3aaa68d7bcbf353c7f3f654b139729e,25,BUIDL
19434267,2024-03-14 15:56:11 UTC,0xe05fff31c7066b95435a3a0cd4048b9ea8564a1f4c0d002e858fbd974c82daa8,0xcf64a444c3aaa68d7bcbf353c7f3f654b139729e,0x8780dd016171b91e4df47075da0a947959c34200,25,BUIDL
19435204,2024-03-14 19:06:35 UTC,0xcfc9ffbea179af8ec4705439cfba276965037ae3a3e6331e76eb33804c8feb57,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,50,BUIDL
19440774,2024-03-15 13:54:23 UTC,0xf723727e0a6e779d20581c19c2c7d78354b24d744ce3acbca23ac6242a054fb4,0x1e695a689cf29c8fe0af6848a957e3f84b61fe69,0xcf64a444c3aaa68d7bcbf353c7f3f654b139729e,25,BUIDL
19441594,2024-03-15 16:39:59 UTC,0xdf0fbb745bcf2f2eddc91adcbd7b29db6219e6fdccd55fb979937e5b7e522bde,0xcf64a444c3aaa68d7bcbf353c7f3f654b139729e,0x8780dd016171b91e4df47075da0a947959c34200,25,BUIDL
19442307,2024-03-15 19:04:11 UTC,0xeb6ab6d56c4a041fbd7278a1fcd9ed62b0ac49cf4ade422e3e13581d3cf86650,0x8780dd016171b91e4df47075da0a947959c34200,0x0000000000000000000000000000000000000000,25,BUIDL
19477803,2024-03-20 18:50:11 UTC,0x157d269bfe878564318d3a1d046aec700e73ebbb4f0425196a96f5bf722c89fa,0x0000000000000000000000000000000000000000,0xc02ac677e58e40b66f100be3a721ba944807c2d7,5000000,BUIDL
